,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,#,_
a,0.0,0.14562479160003539,0.10683687981871755,0.30009594904493275,0.0,0.042870849863561815,0.10887834885983953,0.017012242009349927,0.48655012146740795,0.008165876164487966,0.08506121004674964,0.6314944233870693,0.12452961150844148,1.0921859370002653,0.0020414690411219914,0.07417337516076568,0.0,0.479064734983294,0.6117602226562234,0.7920899879553326,0.05171721570842379,0.11432226630283152,0.05103672602804978,0.002721958721495989,0.17488584785611724,0.0034024484018699854,0.44299878192347214,0.02926105625608188
b,0.054439174429919766,0.04491231890468381,0.0,0.0006804896803739972,0.3565765925159745,0.0,0.0,0.0,0.07485386484113968,0.00476342776261798,0.0,0.0721319061196437,0.0006804896803739972,0.0,0.13813940511592143,0.0,0.0,0.04014889114206583,0.01905371105047192,0.005443917442991978,0.13813940511592143,0.0,0.0,0.0,0.05103672602804978,0.0,0.0013609793607479944,0.0020414690411219914
c,0.2102713112355651,0.0,0.010887834885983955,0.0,0.479064734983294,0.0,0.0,0.3062203561682987,0.020414690411219915,0.0,0.1204466734261975,0.04491231890468381,0.0,0.0,0.23204698100753302,0.0,0.0,0.07349288548039169,0.0006804896803739972,0.05035623634767578,0.0700904370785217,0.0,0.0,0.0,0.005443917442991978,0.0,0.002721958721495989,0.0034024484018699854
d,0.0476342776261798,0.0006804896803739972,0.0,0.04219036018318782,0.3014569284056807,0.006804896803739971,0.02109518009159391,0.0006804896803739972,0.15447115744489734,0.0006804896803739972,0.0,0.04150987050281382,0.0,0.035385463379447854,0.29397154192156677,0.0,0.0,0.05920260219253775,0.05784162283178976,0.0,0.04082938082243983,0.011568324566357951,0.0020414690411219914,0.0,0.03062203561682987,0.0,1.9217028573761679,0.27968125863371285
e,0.5198941158057339,0.008165876164487966,0.08710267908787164,0.6342163821085653,0.3273155362598926,0.0489952569869278,0.08301974100562765,0.02177566977196791,0.06396602995515573,0.0,0.00952685552523596,0.29737399032343675,0.17216388913462127,0.6355773614693133,0.01905371105047192,0.0952685552523596,0.0,1.239171707961049,0.3885596074935524,0.21571522867855708,0.0006804896803739972,0.13133450831218144,0.029941545936455875,0.07077092675889571,0.14494430191966137,0.00952685552523596,3.2391308785802266,0.725401999278681
f,0.07349288548039169,0.0,0.0,0.0,0.10139296237572556,0.08165876164487966,0.0,0.0,0.11296128694208352,0.0,0.0,0.023136649132715903,0.0,0.0,0.21843718740005308,0.0,0.0,0.05784162283178976,0.0,0.05035623634767578,0.06532700931590373,0.0,0.0,0.0,0.002721958721495989,0.0,0.5028818737963838,0.07077092675889571
g,0.1476662606411574,0.0,0.0,0.0,0.19393955890658918,0.0,0.011568324566357951,0.2116322905963131,0.055800153790667766,0.0,0.0,0.04082938082243983,0.0,0.008165876164487966,0.13473695671405145,0.0006804896803739972,0.0,0.13881989479629542,0.04219036018318782,0.0013609793607479944,0.029941545936455875,0.0,0.0,0.0,0.0006804896803739972,0.0006804896803739972,0.5607234966281736,0.1401808741570434
h,0.7805216633889748,0.002721958721495989,0.0,0.0006804896803739972,2.571570502133335,0.0006804896803739972,0.0,0.0,0.5307819506917177,0.0006804896803739972,0.0,0.002721958721495989,0.0034024484018699854,0.0020414690411219914,0.3885596074935524,0.0,0.0,0.055800153790667766,0.002721958721495989,0.15311017808414934,0.03810742210094384,0.0,0.0,0.0,0.029941545936455875,0.0,0.34704973699073854,0.10615639013834355
i,0.02177566977196791,0.00952685552523596,0.40625233918327625,0.46817690009731006,0.12997352895143346,0.10887834885983953,0.1422223431981654,0.0,0.00476342776261798,0.0,0.06600749899627772,0.2116322905963131,0.15106870904302735,1.3779916027573442,0.11704422502432751,0.011568324566357951,0.0,0.14562479160003539,0.39264254557579636,0.9016488264955461,0.0013609793607479944,0.04082938082243983,0.0,0.006124407123365975,0.0,0.017692731689723927,0.2728763618299729,0.10343443141684758
j,0.004082938082243983,0.0,0.0006804896803739972,0.0,0.013609793607479942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011568324566357951,0.0,0.0,0.0,0.0,0.0,0.06940994739814771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k,0.005443917442991978,0.0,0.0,0.0,0.24769824365613496,0.0,0.0,0.0,0.1435833225589134,0.0,0.0,0.014970772968227937,0.0,0.09390757589161161,0.0,0.0,0.0,0.0006804896803739972,0.01224881424673195,0.0,0.0006804896803739972,0.0,0.0,0.0,0.006124407123365975,0.0,0.20142494539070313,0.06056358155328575
l,0.2089103318748171,0.002721958721495989,0.0006804896803739972,0.22728355324491503,0.49607697699264386,0.0986710036542296,0.0006804896803739972,0.0,0.5811381870393936,0.0,0.04014889114206583,0.46273298265431806,0.005443917442991978,0.0,0.21911767708042706,0.008165876164487966,0.0,0.002721958721495989,0.02926105625608188,0.03266350465795186,0.010207345205609957,0.008165876164487966,0.010207345205609957,0.0,0.2966935006430627,0.0,0.3633814893197145,0.09662953461310758
m,0.2082298421944431,0.04150987050281382,0.0,0.0,0.3946840146169184,0.006804896803739971,0.0,0.0,0.11568324566357951,0.0,0.0,0.0006804896803739972,0.010207345205609957,0.010207345205609957,0.2136737596374351,0.05035623634767578,0.0,0.0,0.017012242009349927,0.0,0.08438072036637564,0.0,0.0,0.0,0.046273298265431806,0.0,0.15923458520751532,0.07281239580001769
n,0.06056358155328575,0.0,0.1197661837458235,0.8635414043946024,0.3776717726075684,0.012929303927105947,0.7757582356263567,0.0013609793607479944,0.10887834885983953,0.0020414690411219914,0.07417337516076568,0.05920260219253775,0.0,0.034024484018699855,0.3688254067627064,0.0013609793607479944,0.004082938082243983,0.0013609793607479944,0.08846365844861963,0.3103032942505427,0.036746442740195846,0.012929303927105947,0.0034024484018699854,0.011568324566357951,0.05920260219253775,0.0,0.9309098827516281,0.4484426993664641
o,0.011568324566357951,0.025858607854211894,0.06532700931590373,0.06668798867665172,0.03198301497757786,0.4212231121515042,0.02517811817383789,0.03062203561682987,0.08233925132525366,0.0,0.14154185351779142,0.11228079726170953,0.19393955890658918,0.716555633433819,0.3021374180860547,0.0700904370785217,0.007485386484113969,0.4586500445720741,0.08301974100562765,0.28648615543745276,1.0581614529815655,0.05852211251216376,0.36678393772158446,0.007485386484113969,0.007485386484113969,0.0013609793607479944,0.8206705545310407,0.08506121004674964
p,0.07825631324300968,0.0013609793607479944,0.0,0.0,0.19393955890658918,0.0,0.0,0.04150987050281382,0.08710267908787164,0.0,0.0,0.1190856940654495,0.0,0.0,0.1190856940654495,0.07757582356263568,0.0,0.05920260219253775,0.02109518009159391,0.03742693242056984,0.046953787945805806,0.0,0.0,0.0,0.010207345205609957,0.0,0.10955883854021353,0.034024484018699855
q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14154185351779142,0.0,0.0,0.0,0.0,0.0,0.0,0.0006804896803739972
